Brand,Model,Price_New,Power_Output,ASR_SINAD,Sound_Signature,Balanced,Status,Notes,Source_URL
Schiit,Magni+,109,"2.4W @ 32Ω, 350mW @ 300Ω",110,neutral,FALSE,needs_verification,Check schiit.com,
Schiit,Magni Heresy,109,"2.8W @ 32Ω",114,neutral,FALSE,needs_verification,ASR measured,
Schiit,Magnius,199,"2.2W @ 32Ω SE, 5W @ 32Ω balanced",119,neutral,TRUE,needs_verification,Balanced version,
Schiit,Asgard 3,229,"3.5W @ 32Ω, 500mW @ 300Ω",100,warm,FALSE,needs_verification,Class A topology,
Schiit,Valhalla 2,399,"650mW @ 50Ω, 450mW @ 300Ω",90,warm,FALSE,needs_verification,OTL tube amp,
FiiO,K5 Pro,149,"1.5W @ 32Ω",110,neutral,FALSE,needs_verification,May be discontinued,
Geshelli,Archel 3,119,"1W @ 32Ω",,warm,FALSE,needs_verification,Popular enthusiast choice,
Geshelli,Erish,239,"2W @ 32Ω",,neutral,TRUE,needs_verification,Balanced successor to Archel,
Lake People,G111,449,"4W @ 32Ω",110,neutral,FALSE,needs_verification,German engineering,
Singxer,SA-1,399,"8W @ 32Ω balanced",116,neutral,TRUE,needs_verification,ASR measured,
xDuoo,TA-26,349,"2W @ 32Ω",95,warm,FALSE,needs_verification,Tube amp,
Monolith,Liquid Spark,199,"1.3W @ 32Ω",105,warm,FALSE,needs_verification,Check availability,
iFi,Pro iCAN,499,"4.5W @ 16Ω",105,neutral,TRUE,needs_verification,Feature-rich,
Burson,Soloist 3X GT,1199,"4W @ 32Ω",100,warm,TRUE,needs_verification,Discrete opamps,
Ferrum,OOR,1399,"4W @ 32Ω",110,neutral,TRUE,needs_verification,Very popular high-end,
SPL,Phonitor SE,1399,"2.2W @ 32Ω",105,neutral,TRUE,needs_verification,Pro audio with crossfeed,
SPL,Phonitor XE,3499,"4W @ 32Ω",108,neutral,TRUE,needs_verification,Flagship pro audio,
Cayin,HA-300,1399,"2W @ 32Ω",85,warm,FALSE,needs_verification,Premium 300B tube,
Flux Lab,Volot,849,"8W @ 32Ω",115,neutral,TRUE,needs_verification,ASR measured high power,
SMSL,VMV A2,699,"5W @ 32Ω balanced",120,neutral,TRUE,needs_verification,Discrete amplification,
Gustard,A26,899,"8W @ 32Ω balanced",118,neutral,TRUE,needs_verification,High power,
Violectric,V550,2499,"4W @ 32Ω",112,neutral,TRUE,needs_verification,Flagship,
HeadAmp,GS-X mini,1499,"3W @ 32Ω",108,neutral,TRUE,needs_verification,Boutique American,
HeadAmp,GS-X mk2,3299,"8W @ 32Ω",110,neutral,TRUE,needs_verification,Summit-fi reference,
Woo Audio,WA33,5999,,85,warm,TRUE,needs_verification,Premium tube flagship,
Woo Audio,WA6-SE,1799,,88,warm,FALSE,needs_verification,Popular tube amp,
Eddie Current,Balancing Act,4500,,90,warm,TRUE,needs_verification,Boutique OTL,
Niimbus,US4+,2499,"8W @ 32Ω",118,neutral,TRUE,needs_verification,Newer brand,
Enleum,AMP-23R,4999,"1.5W @ 32Ω",105,neutral,FALSE,needs_verification,Exotic Class A,
Feliks Audio,Euforia,1699,,88,warm,FALSE,needs_verification,Premium tube,
Hagerman,Tuba,999,,90,warm,FALSE,needs_verification,Boutique tube,
Little Dot,MK III,299,,85,warm,FALSE,needs_verification,Budget tube entry,
Aune,S9c Pro,349,"2W @ 32Ω",,neutral,TRUE,needs_verification,Chinese hi-fi,
Yulong,Aquila II,599,,,neutral,TRUE,needs_verification,Chinese hi-fi,
Audio-GD,NFB-1AMP,899,,,neutral,TRUE,needs_verification,Discrete components,
Grace Design,m900,1595,"2W @ 32Ω",108,neutral,TRUE,needs_verification,Pro audio reference,
